label_raw,text,label_clean,label_id,clean_text,clean_word_count
neither,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,neither,2,woman complain clean hous man trash,6
offensive language,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,offensive_language,1,boy dat cold tyga dwn bad cuffin dat hoe st place,11
offensive language,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,offensive_language,1,dawg fuck bitch start confus shit,6
offensive language,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,offensive_language,1,look like tranni,3
offensive language,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,offensive_language,1,shit hear true faker bitch told ya,7
offensive language,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",offensive_language,1,shit just blow claim faith somebodi fuck hoe,8
offensive language,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",offensive_language,1,just sit hate bitch got shit go,7
offensive language,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,offensive_language,1,caus tire big bitch come skinni girl,7
offensive language,""" &amp; you might not get ya bitch back &amp; thats that """,offensive_language,1,ya bitch that,3
offensive language,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",offensive_language,1,hobbi includ fight mariam bitch,5
offensive language,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",offensive_language,1,keek bitch curv lol walk convers like smh,8
offensive language,""" Murda Gang bitch its Gang Land """,offensive_language,1,murda gang bitch gang land,5
offensive language,""" So hoes that smoke are losers ? "" yea ... go on IG",offensive_language,1,hoe smoke loser yea ig,5
offensive language,""" bad bitches is the only thing that i like """,offensive_language,1,bad bitch thing like,4
offensive language,""" bitch get up off me """,offensive_language,1,bitch,1
offensive language,""" bitch nigga miss me with it """,offensive_language,1,bitch nigga miss,3
offensive language,""" bitch plz whatever """,offensive_language,1,bitch plz,2
offensive language,""" bitch who do you love """,offensive_language,1,bitch love,2
offensive language,""" bitches get cut off everyday B """,offensive_language,1,bitch cut everyday,3
offensive language,""" black bottle &amp; a bad bitch """,offensive_language,1,black bottl bad bitch,4
offensive language,""" broke bitch cant tell me nothing """,offensive_language,1,broke bitch tell,3
offensive language,""" cancel that bitch like Nino """,offensive_language,1,cancel bitch like nino,4
offensive language,""" cant you see these hoes wont change """,offensive_language,1,hoe wont chang,3
offensive language,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",offensive_language,1,fuck bitch dont suck dick kermit video bout fuck ig,10
offensive language,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",offensive_language,1,got ya bitch tip toe hardwood floor,7
offensive language,""" her pussy lips like Heaven doors "" &#128524;",offensive_language,1,pussi lip like heaven door,5
offensive language,""" hoe what its hitting for """,offensive_language,1,hoe hit,2
offensive language,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",offensive_language,1,met pussi ocean dr gave pussi pill,7
offensive language,""" i need a trippy bitch who fuck on Hennessy """,offensive_language,1,need trippi bitch fuck hennessi,5
