label_raw,text,label_clean,label_id,clean_text,clean_word_count
offensive language,Talking Angela is a hoe,offensive_language,1,talk angela hoe,3
offensive language,Lol they tricking niccas left n right,offensive_language,1,lol trick nicca left right,5
offensive language,&#128514;&#128514; bitches get stuff done. http://t.co/GvFpk65ah5,offensive_language,1,bitch stuff,2
offensive language,@ArtaleGaspare bitch i got the flameeee,offensive_language,1,bitch got flameee,3
offensive language,@vivaalakatyy @brotherbill7 @JHuff_5 good bitch choke,offensive_language,1,good bitch choke,3
offensive language,I like saying the word pussy hoe ion no why!!!,offensive_language,1,like say word pussi hoe ion,6
offensive language,"This bitch forehead. Hairline. Who lied to her &amp; approved this shit &#128514;&#128514;&#128514; https://t.co/8MaDF35ZXe""",offensive_language,1,bitch forehead hairlin lie approv shit,6
offensive language,@mingtong007 you still are a cunt,offensive_language,1,cunt,1
offensive language,I feel bad for her nicca tho ... Ya girl a hoe my nicca!,offensive_language,1,feel bad nicca tho ya girl hoe nicca,8
neither,Log off nigger RT @PoloKingBC: #relationshipgoals http://t.co/Ge9koImYGj,neither,2,log nigger relationshipgo,3
offensive language,@MrNwachukwu naw them boys trash we started coasting,offensive_language,1,naw boy trash start coast,5
offensive language,"RT @itsTylerStarr: If we date&#128143;&#10084;&#65039;
Get rid of ya Ex's 
&#128694;&#128694;&#128694;&#128694;&#128694;&#128694;

I'll get rid of my hoes
&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;&#128131;

We don't need NO interference 
&#128525;&#128145;&#128107;&#128141;&#128141;&#128149;&#128175;",offensive_language,1,date rid ya ex rid hoe need interfer,8
offensive language,&#8220;@Kash_Stackz: Yall are so confused these days. http://t.co/l2ipE6UvQh&#8221; somebody put that hoe in a dress,offensive_language,1,yall confus day somebodi hoe dress,6
neither,like. animal crackers are legit the best snack,neither,2,like anim cracker legit best snack,6
offensive language,@YungIll314 everybody in Dot Mob/O-Red/Mickey Factz when you battled Clips he wore some ancient hong kong shit + 2 different colored hi-tops,offensive_language,1,everybodi dot mob red mickey factz battl clip wore ancient hong kong shit differ color hi top,17
neither,RT @DanHarrison1985: &#128514; RT @CecilHurt: Charlie Strong got down to the 53-man roster nearly as quickly as Texans did,neither,2,charli strong got man roster nearli quickli texan did,9
offensive language,' I ain't trippen off you no mo &#1041204;&#9995; I done dropped you &#1043360; Knocked 4owe &#1043359; I could Neva be a foo for a hoe &#1043357;&#1043357; I put... http://t.co/GAIElrPDIK,offensive_language,1,ai trippen mo drop knock owe neva foo hoe,9
neither,@ebomb26 cool beaners. i just got home. ready to keep my couch from floating away. lol,neither,2,cool beaner just got home readi couch float away lol,10
offensive language,I bent yo bitch over that's why you mad these niggas broke that's why I laugh,offensive_language,1,bent yo bitch mad nigga broke laugh,7
